aX,aY,aZ,gX,gY,gZ,target
-4951,891,9546,-97,53,-274,5
-3738,544,10261,-250,138,-315,5
-3878,-549,9585,-420,265,-240,5
-4662,-1043,8289,-400,288,-107,5
-4662,-1043,8289,-400,288,-25,5
-4978,-976,8072,-208,213,-25,5
-4435,-708,8717,-50,112,47,5
-4249,-340,9113,-15,81,115,5
-4518,-19,9059,-48,112,147,5
-4794,86,8792,-48,145,142,5
-4816,74,8467,-17,164,111,5
-4840,-14,8335,23,211,83,5
-4809,-92,8283,62,251,67,5
-4710,-19,8359,62,247,64,5
-4710,-19,8359,27,206,87,5
-4569,-260,8721,27,206,87,5
-4217,-360,9406,10,222,134,5
-3399,234,10880,-15,370,229,5
-3440,1621,11464,-148,750,315,5
-3870,2599,10405,-555,1061,339,5
-9413,1150,3002,-673,18,321,5
-6894,-1477,8219,-98,-638,-69,5
-4832,-1204,8146,255,-555,-266,5
-4613,-1343,8740,267,-635,-73,5
-4613,-1343,8740,217,-576,3,5
-5067,-141,9415,217,-576,3,5
-5228,-107,8941,262,-394,-44,5
-4773,-240,8792,289,-290,-91,5
-4668,-721,8804,315,-274,-52,5
-4585,-973,8993,339,-218,10,5
-4433,-952,9268,333,-150,93,5
-4286,-721,9421,295,-92,168,5
-4557,-223,9239,243,-95,236,5
-4728,205,9178,217,-139,251,5
-4728,205,9351,206,-150,214,5
-4896,588,9351,206,-150,214,5
-5121,1027,9474,153,-133,134,5
-5100,1229,9460,39,-124,18,5
-5041,936,9300,-82,-116,-99,5
-4610,404,9201,-182,-124,-151,5
-4542,89,9762,-213,-78,-133,5
-4942,88,9791,-199,32,-86,5
-5184,252,9473,-215,139,-68,5
-5507,1344,9141,-236,206,-135,5
-5093,489,7600,-284,210,-254,5
-5093,489,7600,-284,210,-254,5
-4817,-454,7312,-138,109,-321,5
-4710,-748,7429,188,-1,-307,5
-4822,-507,7919,474,-93,-260,5
-4798,20,8796,591,-199,-228,5
-4557,303,9942,449,-263,-202,5
-4360,256,9487,243,-175,-171,5
-4411,174,9339,91,-77,-131,5
-4521,-126,8967,-37,102,-40,5
-4703,-160,8761,-15,136,-23,5
-4703,-160,8761,-15,136,-23,5
-4916,-27,8378,35,128,-32,5
-4926,148,8208,91,80,-68,5
-4855,133,8352,126,31,-93,5
-4719,13,8543,140,-3,-102,5
-4674,-72,8711,165,-5,-89,5
-4593,-86,8879,194,34,-71,5
-4593,-86,8879,194,34,-71,5
-4695,-7,8829,204,81,-59,5
-4747,44,8894,191,108,-53,5
-4728,-44,8884,161,106,-45,5
-4660,-81,8827,133,100,-30,5
-4657,-98,8772,115,116,-4,5
-4675,-46,8663,114,136,26,5
-4748,-66,8526,136,141,54,5
-4883,25,8547,168,147,65,5
-4863,94,8383,202,147,57,5
-4863,94,8383,202,147,57,5
-4989,205,8403,266,142,37,5
-5042,405,8481,326,148,7,5
-4954,412,8416,369,134,-23,5
-4798,484,8568,371,84,-19,5
-4810,419,8758,343,31,10,5
-4729,367,8880,282,-1,54,5
-4780,314,8924,217,-1,94,5
-4892,378,8867,151,19,114,5
-4967,474,8749,71,31,124,5
-4967,474,8749,71,31,124,5
-5038,465,8571,5,13,112,5
-4939,361,8378,-24,-32,108,5
-4949,282,8569,-7,-76,114,5
-4875,306,8614,33,-86,119,5
-5179,488,8644,80,-75,111,5
-5003,704,8675,96,-83,78,5
-5020,746,8751,89,-104,45,5
-4884,527,8842,73,-111,21,5
-4687,-321,9024,-71,21,-2,5
-4687,-321,9024,-71,21,-2,5
-4688,-287,9262,-117,18,36,5
-4852,-287,9078,-178,20,72,5
-5015,-355,8785,-215,29,64,5
-5113,-356,8775,-200,63,36,5
-4975,-327,8837,-158,109,10,5
-4895,-250,8980,-133,154,-4,5
-4852,-204,9255,-141,204,-1,5
-4573,-128,9211,-224,270,15,5
-4521,-287,8980,-340,334,58,5
-4521,-287,8980,-340,334,58,5
-4486,-683,8078,-420,361,135,5
-4687,-736,7642,-378,302,248,5
-5054,-570,7673,-254,207,328,5
-5083,-3023,-3114,-38,-25,358,5
-5751,-87,8679,245,-350,274,5
-4837,196,9573,395,-339,193,5
-5152,-130,9044,178,-368,160,5
-5169,-463,9043,-14,-392,122,5
-4972,-563,9090,-20,-311,102,5
-4972,-563,9090,-20,-311,102,5
-4798,-782,8699,0,-262,137,5
-4821,-662,8930,9,-270,178,5
-4981,-558,8910,31,-263,189,5
-5112,-282,9104,51,-249,151,5
-5191,187,9859,46,-211,64,5
-5392,189,9777,-2,-89,-55,5
-5158,-183,9224,-45,6,-157,5
-5188,28,9081,-62,44,-215,5
-5365,94,9008,-141,60,-273,5
-5365,94,9008,-285,18,-318,5
-4851,89,8946,-285,18,-318,5
-5072,-903,8438,-375,-26,-342,5
-5004,-1337,8389,-273,-61,-324,5
-4607,-1317,8396,-43,-36,-260,5
-4445,-1028,8286,160,0,-154,5
-4579,-652,8455,259,11,-57,5
-4655,-597,8650,274,6,13,5
-4768,-509,8782,260,6,48,5
-4734,-266,8963,189,25,58,5
-4734,-266,8963,189,25,58,5
-4727,-210,8827,86,64,48,5
-4746,-113,8573,0,69,29,5
-4800,-227,8458,-63,24,23,5
-4949,-514,8400,-91,-22,14,5
-4796,-658,8382,-78,-43,15,5
-4773,-593,8639,-52,-44,22,5
-4514,-447,9388,-53,-27,50,5
-4113,5,10670,-115,26,81,5
-3744,506,10348,-292,245,142,5
-3744,506,10348,-292,245,142,5
-8964,-2459,-9553,-58,251,247,5
-6648,-880,7714,312,-313,43,5
-4852,-155,8701,673,-357,-163,5
-4517,-1221,8372,481,-474,-72,5
-4762,-501,9643,351,-510,-38,5
-4950,-461,9303,328,-326,-43,5
-4638,-453,9037,326,-233,-31,5
-4583,-533,8977,333,-201,1,5
-4630,-772,9095,335,-142,31,5
-4630,-772,9095,298,-110,72,5
-4563,-741,9199,298,-110,72,5
-4492,-515,9223,219,-150,100,5
-4290,-403,9370,122,-202,142,5
-4593,-173,9312,58,-230,180,5
-4652,58,9383,17,-210,171,5
-4761,-71,9367,-15,-157,138,5
-4461,-226,9385,-65,-109,124,5
-4570,-339,9311,-104,-66,143,5
-4710,-138,9221,-134,-37,155,5
-4880,56,9035,-161,-36,135,5
-4880,56,9035,-161,-36,135,5
-5011,305,8896,-177,-55,68,5
-4792,232,9113,-191,-70,-3,5
-4773,-19,9030,-189,-54,-43,5
-4804,-214,8888,-156,-22,-54,5
-4847,-144,8981,-112,1,-62,5
-4823,-232,8932,-83,31,-77,5
-4351,2,9089,-68,54,-86,5
-4283,-253,9349,-116,114,-87,5
-4283,-253,9349,-141,144,-69,5
-5002,-550,8882,-141,144,-69,5
-4974,-514,8456,-89,98,-76,5
-4679,-695,8452,9,41,-86,5
-4467,-719,8507,105,-7,-67,5
-4450,-478,8517,173,-46,-31,5
-4607,-334,8566,202,-72,-5,5
-4662,-178,8700,212,-86,-19,5
-4752,-154,8744,156,49,-49,5
-4752,-154,8744,156,49,-49,5
-4694,-98,8725,133,-8,-63,5
-4546,-245,9006,85,-75,-80,5
-4425,-451,8991,65,-76,-59,5
-4322,-423,8957,54,-36,-27,5
-4518,-494,8818,67,9,12,5
-4584,-324,8714,88,23,30,5
-4370,-281,8681,90,-14,54,5
-4370,-281,8681,70,-61,89,5
-4491,-302,8616,70,-61,89,5
-4572,-393,8551,61,-80,114,5
-4596,-332,8571,83,-81,128,5
-4624,-214,8654,105,-67,139,5
-4863,88,8806,109,-64,132,5
-4595,-130,8974,-104,18,-72,5
-4588,-200,9050,-91,45,-59,5
-4492,-233,9013,-76,85,-42,5
-4546,-174,9002,-65,133,-34,5
-4621,-45,8890,-58,162,-35,5
-4608,100,8918,-59,159,-47,5
-4613,173,8916,-93,130,-77,5
-4613,173,8916,-93,130,-77,5
-4604,295,9087,-152,97,-101,5
-4448,197,9134,-249,66,-112,5
-4651,-90,8757,-317,45,-80,5
-4728,-303,8644,-300,51,-56,5
-4737,-455,8569,-227,88,-32,5
-4442,-445,8389,-156,127,15,5
-4816,-372,8140,-104,137,37,5
-4735,-387,7990,-68,81,51,5
-4636,-290,8243,-59,7,64,5
-4636,-290,8243,-59,7,64,5
-4773,-326,8506,-58,-34,59,5
-4468,-183,8737,-107,-58,73,5
-4683,-350,8711,-161,-47,84,5
-4716,-246,8866,-182,-25,95,5
-4638,-155,8781,-174,5,96,5
-4669,-56,8811,-169,28,92,5
-4695,-35,8894,-180,46,86,5
-4727,-92,8919,-194,71,79,5
-4591,-63,9188,-208,119,76,5
-4591,-63,9188,-208,119,76,5
-4569,-142,9603,-243,218,81,5
-4453,-90,9550,-312,354,106,5
-4560,-122,8992,-412,448,149,5
-4834,-539,8416,-461,455,199,5
-4966,-927,7831,-428,419,237,5
-4999,-1373,2254,-354,351,268,5
-5105,-470,11123,130,-466,215,5
-5418,-1744,8560,493,-568,169,5
-4110,123,9580,360,-524,135,5
-4110,123,9580,360,-524,135,5
-4620,-276,9407,175,-544,171,5
-4926,-163,9522,153,-415,152,5
-4831,-300,9407,175,-227,131,5
-4664,-354,9481,168,-188,141,5
-4543,-543,9363,75,-175,183,5
-4865,-266,9359,10,-169,207,5
-5083,68,9201,-26,-208,202,5
-5243,629,9629,-61,-217,116,5
-5422,798,9951,-127,-122,-16,5
-5422,798,9951,-127,-122,-16,5
-5290,332,9528,-201,9,-159,5
-4957,-179,9060,-219,99,-224,5
-4973,-37,8804,-175,149,-247,5
-3894,-141,8987,-211,163,-219,5
-4504,-527,9169,-280,130,-148,5
-5245,-744,8719,-288,124,-111,5
-5125,-866,8543,-230,102,-119,5
-4498,-813,8645,-149,81,-113,5
-4235,-842,8434,-75,109,-49,5
-4235,-842,8434,-75,100,27,5
-4599,-701,8066,42,100,27,5
-5066,-600,8074,166,48,53,5
-5096,-418,8379,245,3,25,5
-4744,-361,8620,285,13,-7,5
-4721,-95,8760,288,56,-37,5
-4350,-96,8872,200,75,-10,5
-4725,-227,8636,59,80,32,5
-4851,-514,8336,-42,65,48,5
-4616,-594,8433,-80,37,68,5
-4616,-594,8433,-62,50,97,5
-4390,-636,9239,-62,50,97,5
-3952,-430,10118,-72,149,160,5
-3912,484,10791,-174,277,226,5
-4535,614,9610,-329,598,260,5
-8837,-989,3894,-2,-254,270,5
-4869,-384,8988,687,-333,-57,5
-4962,-273,9001,353,-155,4,5
-4962,-273,9001,353,-155,4,5
