aX,aY,aZ,gX,gY,gZ,target
-3434,2895,9454,-198,175,-1912,3
-3817,3199,9221,-198,175,-1912,3
-3751,2904,8742,-199,202,-2079,3
-3396,2244,8389,-254,125,-2207,3
-3175,1546,8228,-322,4,-2252,3
-2951,1156,8338,-317,-65,-2255,3
-2664,815,8627,-302,-78,-2211,3
-2951,1109,9004,-267,-98,-2144,3
-3371,1422,9449,-248,-90,-2123,3
-3468,1403,9493,-226,-31,-2171,3
-3468,1403,9241,-235,7,-2214,3
-3249,777,9241,-235,7,-2214,3
-2912,-98,8925,-277,-41,-2185,3
-2723,-653,9087,-298,-109,-2068,3
-2983,-751,9207,-287,-139,-1923,3
-3146,-813,9074,-268,-136,-1805,3
-3217,-624,9247,-259,-155,-1722,3
-3189,-171,9762,-263,-149,-1668,3
-3388,-68,9863,-293,-72,-1655,3
-3304,-459,9538,-321,13,-1666,3
-3084,-1038,9327,-343,39,-1629,3
-3084,-1038,9327,-343,39,-1629,3
-2982,-1539,9241,-355,30,-1525,3
-3004,-1726,9278,-332,32,-1373,3
-3160,-1439,9312,-288,41,-1230,3
-3422,-1451,9157,-260,42,-1124,3
-3351,-1592,9071,-230,29,-1034,3
-3402,-1640,9134,-199,18,-941,3
-3511,-1520,9215,-180,18,-859,3
-3698,-1152,9340,-188,17,-810,3
-3207,-2705,9297,121,141,-480,3
-3135,-2837,9113,121,141,-480,3
-3144,-2957,9251,108,99,-348,3
-2947,-3298,9183,25,29,-198,3
-2937,-3597,9109,-86,-36,-31,3
-2736,-4023,8921,-164,-76,145,3
-2519,-4443,8932,-180,-94,367,3
-2318,-4795,8943,-156,-92,644,3
-2336,-5063,8651,-120,-105,1000,3
-1534,-5948,8730,-122,-193,1469,3
-1534,-5948,8730,-122,-193,1469,3
-705,-7267,8818,-112,-319,2152,3
-375,-7618,8847,4,-395,3000,3
191,-7063,8781,229,-368,3841,3
-202,-5913,8416,499,-303,4601,3
-538,-3903,8082,678,-348,5156,3
-671,-2219,8056,699,-516,5459,3
-406,-796,8207,672,-666,5567,3
644,-157,8414,688,-678,5564,3
821,-137,8372,710,-609,5623,3
821,-137,8372,710,-609,5623,3
43,350,8396,698,-616,5757,3
-315,1469,8962,701,-677,5797,3
-571,2719,9873,624,-651,5696,3
-1272,3999,10352,463,-575,5484,3
-1147,5290,10646,335,-459,5170,3
-2222,6051,10808,302,-312,4790,3
-3038,7405,10817,393,-148,4329,3
-3805,8569,10393,501,51,3731,3
-4523,9491,9933,544,195,3045,3
-4523,9491,9933,544,195,3045,3
-4680,9744,9360,452,221,2322,3
-4292,9131,9146,251,165,1637,3
-3583,7976,8793,34,105,1087,3
-3013,6781,8672,-127,57,690,3
-2597,5690,8754,-169,44,425,3
-2324,5077,8732,-98,94,252,3
-2115,4469,8770,38,149,142,3
-2311,4284,8799,232,215,70,3
-2244,4187,8847,406,268,10,3
-2244,4187,9188,514,255,-42,3
-2516,4585,9188,514,255,-42,3
-2933,5497,9820,535,236,-147,3
-3640,6380,10126,491,263,-345,3
-3950,6746,9919,386,302,-667,3
-3620,6443,9385,213,270,-1031,3
-3036,5565,8964,14,135,-1337,3
-2524,4225,8992,-149,-42,-1518,3
-1874,2830,9231,-185,-120,-1566,3
-1802,2023,9339,-92,-84,-1489,3
-1802,2023,9339,-92,-84,-1489,3
-2121,2032,9415,29,-24,-1352,3
-2605,2812,9669,97,-3,-1244,3
-3312,3873,10023,111,9,-1252,3
-3781,4569,10267,79,65,-1413,3
-3862,4774,10024,9,135,-1670,3
-3536,4441,9693,-78,171,-1954,3
-3193,3834,9394,-152,206,-2193,3
-2477,2950,8812,-199,219,-2334,3
-2279,1885,8667,-218,177,-2345,3
-2279,1885,8667,-218,127,-2251,3
-1921,989,8670,-189,127,-2251,3
-2152,644,8597,-174,94,-2070,3
-2580,814,8392,-178,40,-1890,3
-3129,1178,8504,-229,-63,-1778,3
-3408,1604,8807,-279,-171,-1753,3
-3657,2030,9096,-301,-216,-1804,3
-3753,2176,9360,-266,-179,-1926,3
-3555,2169,9390,-227,-113,-2070,3
-3266,2108,9330,-191,-61,-2214,3
-3266,2108,9330,-191,-10,-2323,3
-3443,1566,9064,-201,-29,-2387,3
-2998,818,8563,-201,-29,-2387,3
-2575,62,8784,-227,-105,-2366,3
-2264,-821,8989,-263,-152,-2241,3
-2276,-1485,8957,-291,-180,-2003,3
-2563,-1495,9169,-318,-213,-1726,3
-2897,-1093,9622,-338,-224,-1486,3
-3200,-619,9869,-342,-176,-1341,3
-3597,43,9846,-337,-100,-1307,3
-3888,720,9708,-335,-44,-1387,3
-3888,720,9708,-335,-44,-1387,3
-3884,669,9493,-358,-5,-1547,3
-3476,220,9238,-382,0,-1681,3
-3113,-449,9073,-355,-3,-1729,3
-2675,-1171,8946,-312,2,-1673,3
-2786,-1716,8796,-232,-4,-1527,3
-2914,-1548,8965,-143,-33,-1342,3
-3270,-1233,9144,-86,-31,-1192,3
-3483,-1044,9120,-64,-47,-1109,3
-3483,-1044,9360,-69,-88,-1053,3
-3379,-1202,9360,-69,-88,-1053,3
-3347,-1150,9650,-88,-107,-995,3
-3415,-641,10039,-99,-78,-953,3
-3781,-20,10261,-140,-7,-970,3
-3865,394,10043,-193,88,-1069,3
-3950,532,9669,-281,129,-1216,3
-3894,211,9195,-383,99,-1358,3
-3690,-490,8858,-451,47,-1469,3
-3189,-1433,8589,-450,18,-1489,3
-2817,-2463,8419,-401,-9,-1376,3
-2817,-2463,8419,-401,-9,-1376,3
-2739,-3160,8493,-332,-67,-1147,3
-2774,-3123,8841,-255,-103,-861,3
-3824,-1344,9433,-17,24,-319,3
-3702,-1473,9486,-39,41,-363,3
-3494,-1825,9183,-43,36,-366,3
-3340,-2117,9281,-52,16,-315,3
-3460,-2188,9278,-50,9,-243,3
-3383,-2325,9357,-84,-35,-177,3
-3229,-2611,9425,-122,-70,-104,3
-3105,-2915,9560,-141,-63,-22,3
-3105,-2915,9560,-141,-63,-22,3
-2876,-3237,9556,-140,-39,92,3
-2800,-3414,9635,-135,-14,233,3
-2687,-3604,9686,-136,12,398,3
-2748,-3919,9668,-135,43,598,3
-2517,-4437,9661,-134,53,853,3
-1724,-5480,9707,-94,71,1233,3
-321,-6869,9536,27,106,1830,3
1753,-8835,9174,315,147,2793,3
1753,-8835,9174,315,147,2793,3
1780,-9071,9198,813,218,3989,3
29,-6574,8539,1308,415,5030,3
-612,-3912,7112,1536,474,5624,3
659,-2932,6528,1493,264,5936,3
966,-1622,5949,1188,-75,6248,3
988,489,5866,777,-481,6457,3
-156,2140,6958,353,-919,6427,3
-338,3014,9609,85,-1185,6212,3
-290,3474,11424,60,-1040,5974,3
-290,3474,11424,60,-1040,5974,3
-212,4192,11659,299,-582,5712,3
-769,5127,11270,600,-94,5444,3
-1806,6792,10476,746,190,5145,3
-2609,9221,9896,676,246,4697,3
-4034,10695,9678,500,220,4067,3
-4904,11448,9250,338,169,3311,3
-5065,11303,8971,197,125,2475,3
-4510,10183,8806,69,77,1697,3
-3605,8574,8766,-31,56,1093,3
-3605,8574,8766,-31,56,1093,3
-2946,7091,8611,-70,81,681,3
-2644,6000,8495,-43,130,409,3
-2589,5474,8644,58,184,213,3
-2816,5629,8809,193,258,28,3
-3079,5892,8809,255,291,-172,3
-3291,5863,8853,225,241,-411,3
-2918,5454,8800,126,189,-637,3
-2742,4869,8388,17,135,-800,3
-2742,4475,8255,-60,32,-909,3
-2742,4475,8255,-60,32,-990,3
-2520,4043,8476,-85,-77,-990,3
-2376,3518,9008,-39,-104,-1039,3
-2350,3024,9111,42,-73,-1046,3
-2301,2577,9272,86,-68,-1026,3
-2228,2239,9511,85,-74,-967,3
-2516,2092,9610,57,-74,-890,3
-2738,2239,9626,29,-74,-831,3
-2953,2508,9789,8,-73,-812,3
-3174,2882,9832,0,-51,-831,3
-3174,2882,9832,17,-11,-906,3
-3391,3315,9926,17,-11,-906,3
-3559,3829,10007,44,53,-1040,3
-3733,4322,10161,69,132,-1216,3
-3774,4583,9897,89,246,-1436,3
-3529,4412,9393,70,334,-1662,3
-3085,3713,8900,-29,304,-1815,3
-2599,2871,8627,-181,190,-1861,3
-2065,2013,8494,-317,93,-1812,3
-2163,1109,8545,-362,36,-1675,3
-2163,1109,8545,-324,17,-1489,3
-2353,774,8438,-324,17,-1489,3
-2745,836,8543,-260,-24,-1317,3
-3158,1056,8706,-185,-61,-1197,3
-3416,1342,8870,-98,-69,-1141,3
-3733,1929,9255,4,-37,-1149,3
-4188,3146,9832,101,19,-1246,3
-4746,4054,9930,117,96,-1477,3
-4662,4244,9616,44,150,-1811,3
-4089,3737,9004,-108,145,-2141,3
-4089,3737,8531,-292,79,-2348,3
-3455,2535,8531,-292,79,-2348,3
-2755,1223,8323,-379,11,-2382,3
-2426,189,8185,-420,-59,-2282,3
-2338,-612,8019,-419,-160,-2056,3
-2440,-1022,8201,-406,-289,-1749,3
-2920,-731,8712,-313,-348,-1456,3
-3467,100,9108,-166,-325,-1277,3
-3829,1052,9696,-24,-265,-1238,3
-4051,1716,9986,62,-171,-1323,3
-4346,2298,9765,76,-82,-1512,3
-4346,2298,9765,76,-82,-1512,3
-3841,2310,9664,1,-37,-1747,3
-3936,1357,9105,-147,-41,-1925,3
-3308,571,8895,-245,-108,-2023,3
-2711,-611,8951,-287,-141,-1999,3
-2737,-1241,8831,-302,-152,-1836,3
-3044,-1243,8794,-288,-188,-1617,3
-3199,-1283,9080,-278,-219,-1425,3
-3141,-1239,9330,-247,-211,-1263,3
