aX,aY,aZ,gX,gY,gZ,target
3232,-3205,9061,-206,-9752,710,4
3406,-4524,9061,-206,-9752,710,4
4225,-4427,19289,-149,-9748,1127,4
3675,-777,29816,-58,-8511,1397,4
1232,5133,-29655,-780,-5345,1508,4
-2828,6126,27651,-1638,-2213,993,4
-2453,2909,17156,-1793,-515,73,4
-809,-1685,11924,-1152,-140,-437,4
-1018,-4274,12478,-73,-425,-478,4
-1572,-4234,15498,1064,-585,-299,4
-1293,-2169,17109,1744,-340,-134,4
-1293,-2169,17109,1744,-340,-134,4
-2031,-340,16102,1753,122,15,4
-3073,778,15489,1316,430,62,4
-2763,711,15226,650,640,39,4
-2468,636,13228,116,919,50,4
-2827,412,10613,-247,1029,17,4
-2109,-126,7864,-411,868,20,4
-2513,-11,7167,-382,568,98,4
-2884,156,8291,-252,302,157,4
-2817,363,9531,-87,218,146,4
-2817,363,9531,-87,218,146,4
-2701,492,9566,48,321,106,4
-2602,661,9166,111,431,81,4
-2461,647,9058,75,431,75,4
-2615,705,9518,-43,379,53,4
-2750,796,10116,-189,353,-6,4
-2712,593,10309,-363,379,-94,4
-2423,267,10346,-534,464,-155,4
-2359,-119,9491,-704,554,-166,4
-2398,-513,8340,-809,526,-135,4
-2398,-513,8340,-809,526,-135,4
-2556,-745,7706,-794,366,-79,4
-2782,-660,7749,-671,175,-15,4
-3001,-526,8304,-488,26,10,4
-5058,-1048,6478,645,2482,-243,4
-4928,-1048,7099,712,2391,-173,4
-5276,-336,7640,662,2391,-122,4
-5617,-59,6655,511,2437,-116,4
-5684,108,5826,374,2415,-145,4
-5948,72,4522,274,2321,-170,4
-6181,-135,3288,263,2125,-213,4
-6181,-135,3288,263,2125,-213,4
-6307,-544,2897,326,1580,-228,4
-6410,-295,2035,131,660,-155,4
-6484,-379,1797,87,406,-143,4
-6571,-528,1570,26,105,-134,4
-6570,-1042,1383,-65,-256,-99,4
-6570,-1042,1383,-65,-256,-99,4
-6544,-1317,985,-190,-678,-28,4
-6647,-1028,934,-325,-1160,39,4
-6716,-731,608,-485,-1704,50,4
-6355,-899,-344,-607,-2277,14,4
-5191,-1625,-2478,-563,-2882,20,4
-4481,-1706,-4517,-326,-3644,142,4
-3466,-1582,-4297,-123,-4813,275,4
-1501,-1674,-1350,-124,-6169,444,4
1110,-2036,1994,-185,-7330,653,4
1110,-2036,1994,-185,-7330,653,4
1834,-3567,9160,-337,-7998,925,4
2571,-3509,17446,-613,-7787,1274,4
1794,-1646,24129,-971,-6541,1548,4
-195,1531,27553,-1455,-4678,1571,4
-1600,3632,24649,-1904,-2803,1236,4
-2298,2524,19076,-2009,-1469,602,4
-1616,-513,15001,-1474,-795,49,4
-1326,-2952,14617,-334,-526,-240,4
-1177,-4036,16247,826,-315,-270,4
-1177,-4036,16247,826,-315,-270,4
-1463,-3119,17340,1620,49,-163,4
-1956,-1917,17804,2001,566,-53,4
-2411,-821,17496,2004,1117,19,4
-2766,-95,16644,1731,1602,42,4
-3084,284,15621,1315,1924,12,4
-3049,454,13950,943,2157,-26,4
-3249,1062,12967,638,2315,-103,4
-3092,1052,12047,331,2381,-180,4
-3139,1127,11667,76,2386,-239,4
-3139,1127,11667,76,2386,-239,4
-3126,906,11564,-114,2392,-287,4
-3241,326,11054,-204,2481,-298,4
-3280,-120,10121,-163,2645,-273,4
-3414,-610,8768,-28,2814,-219,4
-3546,-238,8094,185,2903,-159,4
-3890,254,7869,337,2948,-124,4
-4262,774,7574,411,2973,-155,4
-4511,620,6811,386,2990,-229,4
-4338,-32,5566,315,2963,-268,4
-4338,-32,5566,315,2963,-249,4
-4581,-528,4706,269,2838,-249,4
-4910,-725,3649,235,2626,-174,4
-5261,-514,2910,222,2354,-98,4
-5516,28,2548,182,2034,-42,4
-5883,705,2141,107,1714,-43,4
-6250,1115,1493,50,1359,-124,4
-6379,1202,1046,48,995,-257,4
-6358,894,757,100,638,-398,4
-6239,562,686,156,266,-500,4
-6239,562,686,176,-148,-548,4
-6208,25,703,176,-148,-548,4
-6228,-354,253,156,-577,-546,4
-5826,-1019,-1208,147,-1045,-507,4
-5156,-1514,-3755,229,-1592,-380,4
-4710,-1025,-6134,330,-2526,-157,4
-3710,-1507,-5928,263,-3996,85,4
-1813,-2285,-4546,32,-5640,389,4
545,-3036,-1709,-234,-7177,696,4
2038,-4729,5059,-447,-8429,1050,4
2038,-4729,5059,-719,-8858,1403,4
4070,-4358,15087,-719,-8858,1403,4
3864,-1631,27043,-885,-7951,1706,4
1933,4060,-30193,-1381,-5549,1784,4
-1774,7051,28628,-2072,-2637,1356,4
-2857,4406,18273,-2200,-731,367,4
-823,-695,12325,-1513,-142,-390,4
-545,-4061,11913,-306,-182,-569,4
-1409,-4596,13344,1029,-255,-378,4
-1379,-2338,14961,1903,-181,-189,4
-1379,-2338,14676,2114,108,-94,4
-2068,-534,14676,2114,108,-94,4
-2545,332,14029,1820,330,-78,4
-2457,288,13878,1227,412,-67,4
-2361,2,13245,533,420,-39,4
-2429,-151,11581,39,419,26,4
-2548,-39,10406,-251,370,47,4
-2237,-406,9744,-432,315,91,4
-2285,-507,9397,-482,330,169,4
-2415,-343,8901,-387,338,243,4
-2622,351,8712,-227,274,269,4
-2622,351,8712,-227,274,269,4
-2577,813,8775,-74,218,220,4
-2458,987,9031,31,219,153,4
-2642,1245,9041,79,251,76,4
-2595,969,9006,46,234,-28,4
-2444,368,9188,-25,175,-100,4
-2305,55,9501,-131,141,-117,4
-2261,-242,9847,-258,130,-100,4
-2148,-373,10126,-374,169,-67,4
-2078,-535,9489,-419,259,-21,4
-6324,-729,4735,313,2000,-175,4
-6324,-729,4735,313,2000,-175,4
-6011,-721,4931,347,1880,-161,4
-6119,-784,5386,305,1774,-118,4
-6327,-855,4916,197,1737,-64,4
-6411,-867,3972,64,1670,-15,4
-6654,-789,3098,-67,1481,45,4
-7007,-735,2271,-111,1235,66,4
-7257,-472,1739,-89,948,37,4
-7287,-247,1679,-50,620,-29,4
-7238,-168,1968,-23,314,-111,4
-7238,-168,1968,-23,314,-111,4
-7147,-501,1939,-14,61,-183,4
-7091,-1002,1239,-27,-200,-208,4
-7210,-1335,-93,-50,-560,-183,4
-7057,-1373,-1057,-53,-1062,-145,4
-6597,-1357,-1643,-29,-1630,-130,4
-5453,-1534,-3537,31,-2200,-91,4
-5298,-940,-6047,203,-2899,4,4
-4811,-344,-7171,350,-4083,49,4
-2650,-589,-5286,339,-5668,16,4
-2650,-589,-5286,339,-5668,84,4
510,-1663,-2197,211,-7225,84,4
3144,-2306,1317,114,-8456,431,4
4348,-2801,8565,210,-9211,833,4
3689,-3114,19055,302,-8998,1151,4
2533,-1121,29408,384,-7472,1263,4
1003,2368,-30162,131,-4762,1232,4
-2043,4447,27497,-496,-1952,935,4
-2128,2470,19349,-860,-416,262,4
-1349,-1261,14299,-625,-54,-178,4
-1349,-1261,14299,-625,-54,-178,4
-964,-3582,13645,112,-145,-240,4
-1959,-3808,15522,966,-220,-114,4
-1842,-2072,17373,1505,1,25,4
-2352,-488,17407,1598,488,134,4
-3047,985,17112,1336,985,149,4
-3395,1485,16881,923,1439,62,4
-3135,1473,16147,430,1822,-95,4
-3265,882,14236,63,2100,-225,4
-3043,1124,13276,-128,2280,-323,4
-3043,1124,13276,-128,2280,-323,4
-2891,1310,13103,-289,2478,-408,4
-2823,994,12613,-456,2662,-458,4
-2738,449,11532,-582,2734,-460,4
-3034,-86,10645,-631,2710,-423,4
-3238,-642,9694,-586,2681,-340,4
-3419,-982,8829,-476,2729,-239,4
-3571,-1158,7893,-336,2794,-128,4
-3762,-652,7606,-207,2815,-29,4
-4064,-111,7558,-147,2822,7,4
-4064,-111,7558,-147,2822,-29,4
-4255,506,7834,-138,2893,-29,4
-4616,416,7166,-195,3017,-115,4
-4725,-37,6162,-259,3068,-197,4
-4707,-279,5142,-288,3012,-233,4
-4870,-764,4061,-294,2866,-189,4
-5223,-991,3123,-285,2640,-92,4
-5285,-1003,2273,-259,2368,0,4
-5509,-979,1308,-208,2048,113,4
-5735,-535,687,-118,1701,210,4
-6200,179,323,-12,1324,229,4
-6200,179,323,-12,1324,229,4
-6612,655,94,61,917,138,4
-6661,708,101,100,529,-18,4
-6766,562,221,81,155,-192,4
-6841,100,-135,-22,-251,-322,4
-6978,-606,-799,-157,-765,-394,4
-6447,-1135,-2085,-262,-1392,-404,4
-5568,-1361,-4679,-185,-2078,-333,4
-5310,-1174,-6981,58,-3020,-204,4
-5310,-1174,-6981,310,-4401,-98,4
-3921,-1158,-7249,310,-4401,-98,4
-1200,-2013,-5297,390,-6023,54,4
1261,-2112,-2140,395,-7629,406,4
2268,-2426,4223,387,-8902,700,4
3879,-2863,14764,412,-9279,870,4
-1844,5210,29327,-614,-2840,566,4
-1844,5210,29327,-614,-2840,566,4
-1995,2318,19685,-1055,-1007,-153,4
