aX,aY,aZ,gX,gY,gZ,target
-1476,-6151,8062,90,-51,45,2
-1660,-5454,8023,43,-128,232,2
-1850,-4794,8171,7,-202,338,2
-2047,-4265,8279,-43,-256,364,2
-1958,-4325,8395,-76,-295,356,2
-2037,-4689,8469,-74,-302,379,2
-2080,-5175,8482,-54,-301,434,2
-1975,-5641,8547,-35,-304,541,2
-1953,-5903,8440,-28,-301,698,2
-1953,-5903,8440,-28,-301,698,2
-1878,-5992,8319,-34,-321,882,2
-1782,-5954,8423,-71,-365,1083,2
-1954,-5176,8386,-135,-448,1283,2
-2141,-4173,8694,-236,-584,1405,2
-2413,-3318,8882,-326,-698,1431,2
-2475,-2695,9294,-380,-753,1370,2
-2559,-2569,9598,-395,-702,1267,2
-2645,-2790,9695,-369,-581,1164,2
-2639,-3256,9756,-315,-429,1091,2
-2639,-3256,9756,-315,-429,1082,2
-2566,-3918,9649,-262,-291,1082,2
-2571,-4304,9355,-211,-188,1153,2
-2675,-4401,8940,-162,-143,1268,2
-2751,-4380,8579,-160,-189,1403,2
-2685,-4299,8446,-190,-313,1536,2
-2559,-4124,8736,-222,-455,1670,2
-2524,-3617,9158,-255,-522,1780,2
-2652,-3158,9540,-291,-511,1831,2
-2647,-2690,9702,-323,-446,1827,2
-2647,-2690,9702,-356,-389,1802,2
-2699,-2453,9604,-356,-389,1802,2
-2760,-2745,9519,-337,-343,1768,2
-2608,-2992,9631,-263,-267,1767,2
-2699,-3403,9363,-182,-174,1812,2
-2703,-3655,9162,-85,-94,1894,2
-2750,-3632,9080,2,-38,1995,2
-2779,-3431,9013,79,-11,2100,2
-2974,-3048,8766,137,-23,2186,2
-3214,-2365,8725,163,-87,2213,2
-3214,-2365,8725,130,-171,2174,2
-3299,-1664,9037,130,-171,2174,2
-3482,-1205,9383,47,-234,2081,2
-3627,-1034,9554,-40,-241,1954,2
-3785,-1031,9420,-94,-201,1813,2
-3844,-1113,9183,-103,-155,1671,2
-3902,-1367,8986,-72,-119,1557,2
-3799,-1635,8946,0,-80,1479,2
-3759,-1856,8975,87,-42,1450,2
-3757,-1850,8891,178,-14,1455,2
-3757,-1850,8770,262,-4,1460,2
-3778,-914,9311,21,1,26,2
-3834,-884,9286,17,0,32,2
-3863,-859,9187,17,0,34,2
-3964,-665,9164,17,3,31,2
-4034,-577,9127,17,7,15,2
-4054,-501,9089,20,9,-12,2
-4052,-486,9140,23,-1,-41,2
-4040,-526,9233,31,-6,-68,2
-4040,-526,9233,42,-1,-94,2
-4029,-535,9357,42,-1,-94,2
-4033,-577,9396,51,24,-113,2
-4031,-352,9486,62,42,-125,2
-4218,-100,9516,61,53,-160,2
-4240,26,9530,51,64,-230,2
-4219,-29,9457,55,91,-311,2
-4218,-53,9433,72,122,-392,2
-4092,33,9515,93,140,-455,2
-4451,922,9833,126,171,-551,2
-4451,922,9833,142,232,-763,2
-4942,1908,9917,142,232,-763,2
-5042,2664,10082,163,340,-1103,2
-4973,2745,9952,156,443,-1488,2
-5146,2636,9576,133,492,-1874,2
-4917,2111,9299,90,497,-2265,2
-4526,1701,9531,56,522,-2616,2
-4217,1864,9651,7,580,-2907,2
-4396,2537,9470,-32,641,-3200,2
-4375,1846,8950,-61,664,-3529,2
-3713,592,8441,9,668,-3802,2
-3713,592,8441,9,668,-3802,2
-3153,-732,8190,145,649,-3908,2
-2852,-1702,8266,278,607,-3851,2
-2791,-1856,8478,371,553,-3714,2
-2879,-1210,9065,382,503,-3586,2
-3056,-1176,9334,279,480,-3523,2
-2788,-1637,9495,175,492,-3530,2
-2452,-2852,9230,89,541,-3496,2
-2245,-4201,8638,69,578,-3362,2
-2039,-5217,8214,131,572,-3134,2
-2039,-5217,8214,131,572,-3134,2
-2059,-5546,8008,309,361,-2532,2
-2012,-5650,8297,102,12,-827,2
-2047,-5852,8307,106,-28,-631,2
-2047,-5852,8307,106,-28,-631,2
-2017,-6171,8305,119,-54,-440,2
-1886,-6276,8251,139,-69,-233,2
-1880,-5729,8450,153,-91,-23,2
-2086,-4904,8484,105,-133,156,2
-2356,-4226,8555,21,-172,238,2
-2557,-4007,8493,-41,-207,241,2
-2530,-4287,8483,-54,-231,219,2
-2530,-4287,8483,-54,-231,219,2
-2428,-4762,8528,-7,-227,234,2
-2428,-5312,8493,56,-200,310,2
-2354,-5715,8366,105,-185,445,2
-2467,-5767,8141,111,-204,629,2
-2603,-5057,8249,87,-304,795,2
-2428,-4488,8699,-8,-422,921,2
-2255,-4138,9199,-136,-494,1029,2
-2483,-3645,9620,-268,-489,1131,2
-2800,-3574,9548,-369,-450,1175,2
-2800,-3574,9548,-369,-450,1175,2
-2784,-3834,9420,-405,-397,1196,2
-2860,-3888,9205,-356,-331,1222,2
-2891,-3769,9163,-289,-271,1261,2
-2931,-3847,9000,-232,-221,1299,2
-2962,-3651,8976,-191,-194,1342,2
-3036,-3375,9126,-180,-191,1389,2
-3274,-3127,9024,-217,-215,1415,2
-3245,-3066,9020,-274,-257,1423,2
-3242,-3305,8975,-338,-305,1441,2
-3242,-3305,8975,-338,-305,1441,2
-3192,-3361,9061,-361,-328,1481,2
-3163,-3400,9151,-354,-304,1520,2
-3166,-3546,8993,-324,-251,1571,2
-3116,-3718,8694,-266,-209,1635,2
-3069,-3829,8593,-172,-197,1719,2
-2949,-3482,8974,-81,-196,1813,2
-3000,-3038,9214,-50,-180,1899,2
-3006,-2781,9244,-75,-169,1950,2
-2965,-2909,9104,-109,-163,2004,2
-2965,-2909,9104,-86,-154,2053,2
-3200,-2918,8866,-86,-154,2053,2
-3341,-2723,8705,-30,-171,2089,2
-3360,-2514,8834,26,-204,2105,2
-3294,-1933,9343,57,-224,2103,2
-3600,-1274,9667,40,-191,2054,2
-3885,-948,9442,-26,-145,1951,2
-4180,-893,9144,-73,-119,1797,2
-4315,-862,8884,-76,-124,1629,2
-4342,-1006,8714,-48,-150,1481,2
-4342,-1006,8714,0,-167,1365,2
-4210,-1082,8768,0,-167,1365,2
-4086,-1117,8938,37,-166,1306,2
-4261,-978,8933,75,-152,1260,2
-4342,-924,8958,97,-139,1202,2
-4384,-1030,8975,112,-116,1144,2
-4279,-1216,8885,145,-73,1096,2
-4116,-1368,8794,196,-30,1083,2
-4145,-1288,8758,249,1,1092,2
-4256,-934,8699,281,7,1088,2
-4256,-934,8699,266,-21,1039,2
-4414,-585,8757,266,-21,1039,2
-4469,-299,8930,216,-50,953,2
